is_emotional,title_caps,has_numbers,short_article,label
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,1,0,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
0,0,0,0,1
1,0,0,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
1,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,0,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
1,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,0,0,1
0,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
0,0,0,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,0,0,1
1,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
0,0,0,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,0,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,0,0,1
0,0,0,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,0,0,1
0,0,1,0,1
1,0,0,0,1
1,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
1,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,0,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,0,0,1
0,0,0,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
0,1,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,0,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,1,0,1,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
1,0,0,1,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
1,0,0,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,0,1,1
1,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,1,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
0,0,0,0,1
0,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,1,0,1,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
0,0,0,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,0,0,1
0,0,0,0,1
0,1,0,1,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,1,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,0,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,0,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,1,1
0,0,1,0,1
0,0,1,0,1
0,1,0,1,1
0,0,0,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,1,1,1
1,0,1,0,1
0,0,0,0,1
0,0,0,1,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,1,1
0,1,0,1,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,1,0,1,1
1,0,1,0,1
1,1,0,1,1
0,0,1,0,1
0,1,0,1,1
0,0,1,0,1
1,0,1,0,1
1,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,1,0,1,1
0,1,0,1,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,1,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,0,1,1
0,1,0,1,1
0,1,0,1,1
0,1,1,1,1
0,0,1,1,1
0,1,1,1,1
0,1,0,1,1
0,1,0,1,1
1,0,1,0,1
1,1,0,1,1
0,0,1,0,1
0,0,1,0,1
0,1,0,1,1
0,1,0,1,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
1,1,1,0,1
0,1,1,1,1
0,0,1,0,1
0,0,0,1,1
1,1,0,1,1
0,0,0,1,1
1,0,1,0,1
0,0,1,1,1
0,0,0,1,1
0,1,0,1,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,1,0,1,1
0,1,1,1,1
0,0,1,1,1
0,1,0,1,1
1,0,1,0,1
0,1,0,1,1
1,0,1,0,1
1,0,1,0,1
0,1,0,1,1
1,0,1,0,1
0,1,0,1,1
0,0,1,0,1
1,0,1,0,1
1,1,0,1,1
0,1,1,1,1
1,0,1,0,1
0,1,0,1,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,0,1,1
0,0,1,1,1
0,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,1,0,1,1
1,0,1,0,1
1,0,1,0,1
0,0,1,1,1
0,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,0,1,1
1,0,1,0,1
0,0,1,0,1
1,0,0,1,1
1,1,1,1,1
0,0,1,0,1
0,0,1,1,1
0,0,1,0,1
0,0,1,0,1
0,1,0,1,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,1,0,1,1
1,0,0,0,1
0,1,0,1,1
0,1,1,1,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,0,1,1,1
1,0,1,0,1
1,0,0,0,1
0,1,0,1,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,1,1
0,0,1,1,1
1,0,1,0,1
0,1,0,1,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,1,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,1,0,1,1
0,0,1,0,1
0,0,1,0,1
0,0,1,1,1
0,0,1,0,1
0,1,0,1,1
0,1,1,1,1
1,0,1,0,1
1,0,1,0,1
0,0,1,1,1
0,0,1,1,1
1,0,1,0,1
0,1,0,1,1
0,1,1,1,1
0,0,1,0,1
0,1,0,1,1
1,0,1,0,1
0,1,0,1,1
0,1,0,1,1
0,0,1,0,1
1,0,1,0,1
0,0,0,1,1
0,1,0,1,1
0,0,0,1,1
0,0,0,1,1
1,0,0,0,1
1,0,1,0,1
0,1,1,0,1
0,0,0,1,1
1,0,1,0,1
0,1,0,1,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,1,0,1,1
0,1,0,1,1
1,1,0,1,1
1,0,0,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,1,1,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,0,0,1
1,0,0,0,1
0,1,0,1,1
0,1,0,1,1
0,0,1,1,1
0,1,0,1,1
0,0,1,0,1
0,0,1,0,1
0,1,0,1,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,0,1,1
1,0,1,0,1
0,0,0,0,1
1,0,0,0,1
1,0,1,0,1
0,1,0,1,1
0,0,1,0,1
0,1,0,1,1
0,0,0,1,1
0,0,1,0,1
0,0,1,0,1
0,1,0,1,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,1,0,1,1
0,1,0,1,1
1,0,1,0,1
0,1,0,1,1
0,0,1,0,1
0,0,0,0,1
0,1,0,1,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,0,0,1
0,0,1,0,1
1,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,0,1,1
1,0,1,0,1
1,1,0,1,1
0,0,1,1,1
0,1,0,1,1
0,1,0,1,1
0,0,1,0,1
0,1,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,0,0,1
1,0,0,1,1
0,0,1,0,1
0,0,1,1,1
1,0,1,0,1
0,1,0,1,1
0,0,1,0,1
0,0,0,1,1
1,0,1,0,1
1,0,1,0,1
1,0,0,0,1
0,0,0,0,1
1,0,1,0,1
1,0,0,1,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,1,0,1,1
0,1,0,1,1
0,0,1,0,1
0,0,0,1,1
0,0,1,0,1
1,0,0,1,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,1,1,1,1
0,1,0,1,1
0,1,0,1,1
0,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,0,1,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,1,1,1,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,1,1,1,1
0,1,1,1,1
0,1,0,1,1
1,0,1,0,1
0,0,0,1,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,1,0,1,1
0,0,0,1,1
0,0,1,0,1
0,0,1,0,1
0,1,0,1,1
1,0,0,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,1,1,1,1
1,0,1,0,1
1,0,1,0,1
0,0,0,1,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,1,0,1,1
0,0,0,0,1
0,0,1,0,1
0,0,0,0,1
0,1,0,1,1
0,1,1,1,1
0,0,1,0,1
0,0,1,0,1
0,1,1,1,1
0,1,0,1,1
0,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,0,1,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,1,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,0,0,0,1
0,0,1,0,1
0,0,1,0,1
1,0,1,0,1
0,1,0,1,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,0,0,1
0,1,0,1,1
0,1,0,1,1
0,0,1,1,1
0,1,0,1,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,0,1,1
0,0,1,1,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,0,1,1
0,1,0,1,1
1,0,1,0,1
0,0,1,0,1
1,0,0,0,1
0,0,1,0,1
0,0,1,0,1
0,1,0,1,1
1,0,1,0,1
0,0,0,1,1
0,0,0,0,1
0,0,1,0,1
1,1,0,1,1
1,0,0,1,1
0,1,0,1,1
1,0,1,0,1
1,0,1,0,1
0,0,0,0,1
1,0,1,0,1
0,0,1,0,1
1,0,1,0,1
1,0,1,0,1
0,1,0,1,1
1,0,0,0,1
0,1,1,1,1
0,1,0,1,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
1,0,1,0,1
1,0,0,0,1
1,0,1,0,1
1,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,0,1,0,1
0,1,0,1,1
1,0,1,0,1
0,0,1,0,1
